Date,Open,High,Low,Close,Adj Close,Volume
2022-03-08,277.799988,283.959991,270.000000,275.850006,270.458557,48159500
2022-03-09,283.440002,289.600006,280.779999,288.500000,282.861298,35204500
2022-03-10,283.019989,286.600006,280.579987,285.589996,280.008179,30628000
2022-03-11,287.959991,289.510010,279.429993,280.070007,274.596039,27209300
2022-03-14,280.339996,285.399994,275.820007,276.440002,271.037018,30660700
2022-03-15,280.350006,287.820007,278.730011,287.149994,281.537689,34245100
2022-03-16,289.109985,294.570007,283.200012,294.390015,288.636200,37826300
2022-03-17,293.290009,295.609985,289.369995,295.220001,289.449951,30816600
2022-03-18,295.369995,301.000000,292.730011,300.429993,294.558136,43390600
2022-03-21,298.890015,300.140015,294.899994,299.160004,293.312988,28351200
2022-03-22,299.799988,305.000000,298.769989,304.059998,298.117157,27599700
2022-03-23,300.510010,303.230011,297.720001,299.489990,293.636444,25715400
2022-03-24,299.140015,304.200012,298.320007,304.100006,298.156433,24484500
2022-03-25,305.230011,305.500000,299.290009,303.679993,297.744598,22566500
2022-03-28,304.329987,310.799988,304.329987,310.700012,304.627441,29578200
2022-03-29,313.910004,315.820007,309.049988,315.410004,309.245300,30393400
2022-03-30,313.760010,315.950012,311.579987,313.859985,307.725647,28163600
2022-03-31,313.899994,315.140015,307.890015,308.309998,302.284119,33422100
2022-04-01,309.369995,310.130005,305.540009,309.420013,303.372437,27110500
2022-04-04,310.089996,315.109985,309.709991,314.970001,308.813965,24289600
2022-04-05,313.269989,314.869995,309.869995,310.880005,304.803894,23156700
2022-04-06,305.190002,307.000000,296.709991,299.500000,293.646332,40110400
2022-04-07,296.660004,303.649994,296.350006,301.369995,295.479736,31411200
2022-04-08,300.440002,301.119995,296.279999,296.970001,291.165771,24361900
2022-04-11,291.790009,292.609985,285.000000,285.260010,279.684662,34569300
2022-04-12,289.239990,290.739990,280.489990,282.059998,276.547150,30966700
2022-04-13,282.730011,288.579987,281.299988,287.619995,281.998505,21907200
2022-04-14,288.089996,288.309998,279.320007,279.829987,274.360779,28221600
2022-04-18,278.910004,282.459991,278.339996,280.519989,275.037231,20778000
2022-04-19,279.380005,286.170013,278.410004,285.299988,279.723877,22297700
2022-04-20,289.399994,289.700012,285.369995,286.359985,280.763092,22906700
2022-04-21,288.579987,293.299988,280.059998,280.809998,275.321564,29454600
2022-04-22,281.679993,283.200012,273.380005,274.029999,268.674103,29405800
2022-04-25,273.290009,281.109985,270.769989,280.720001,275.233398,35678900
2022-04-26,277.500000,278.359985,270.000000,270.220001,264.938568,46518400
2022-04-27,282.100006,290.970001,279.160004,283.220001,277.684479,63477700
2022-04-28,285.190002,290.980011,281.459991,289.630005,283.969147,33646600
2022-04-29,288.609985,289.880005,276.500000,277.519989,272.095856,37073900
2022-05-02,277.709991,284.940002,276.220001,284.470001,278.910034,35151100
2022-05-03,283.959991,284.130005,280.149994,281.779999,276.272614,25978600
2022-05-04,282.589996,290.880005,276.730011,289.980011,284.312378,33599300
2022-05-05,285.540009,286.350006,274.339996,277.350006,271.929199,43260400
2022-05-06,274.809998,279.250000,271.269989,274.730011,269.360443,37780300
2022-05-09,270.059998,272.359985,263.320007,264.579987,259.408813,47726000
2022-05-10,271.690002,273.750000,265.070007,269.500000,264.232666,39336400
2022-05-11,265.679993,271.359985,259.299988,260.549988,255.457535,48975900
2022-05-12,257.690002,259.880005,250.020004,255.350006,250.359207,51033800
2022-05-13,257.350006,263.040009,255.350006,261.119995,256.016418,34925100
2022-05-16,259.959991,265.820007,255.779999,261.500000,256.389008,32550900
2022-05-17,266.109985,268.329987,262.459991,266.820007,261.605042,28828800
2022-05-18,263.000000,263.600006,252.770004,254.080002,249.694260,31356000
2022-05-19,253.899994,257.670013,251.880005,253.139999,248.770477,32692300
2022-05-20,257.239990,258.540009,246.440002,252.559998,248.200485,39199300
2022-05-23,255.490005,261.500000,253.429993,260.649994,256.150818,33175400
2022-05-24,257.890015,261.329987,253.500000,259.619995,255.138641,29043900
2022-05-25,258.140015,264.579987,257.130005,262.519989,257.988556,28547900
2022-05-26,262.269989,267.109985,261.429993,265.899994,261.310211,25002100
2022-05-27,268.480011,273.339996,267.559998,273.239990,268.523529,26910800
2022-05-31,272.529999,274.769989,268.929993,271.869995,267.177155,37827700
2022-06-01,275.200012,277.690002,270.040009,272.420013,267.717682,25292200
2022-06-02,264.450012,274.649994,261.600006,274.579987,269.840363,44008200
2022-06-03,270.309998,273.450012,268.410004,270.019989,265.359070,28059000
2022-06-06,272.059998,274.179993,267.220001,268.750000,264.111023,22400300
2022-06-07,266.640015,273.130005,265.940002,272.500000,267.796295,22860700
2022-06-08,271.709991,273.000000,269.609985,270.410004,265.742371,17372300
2022-06-09,267.779999,272.709991,264.630005,264.790009,260.219391,26439700
2022-06-10,260.579987,260.579987,252.529999,252.990005,248.623077,31422800
2022-06-13,245.110001,249.020004,241.529999,242.259995,238.078308,46135800
2022-06-14,243.860001,245.740005,241.509995,244.490005,240.269791,28651500
2022-06-15,248.309998,255.300003,246.419998,251.759995,247.414291,33111700
2022-06-16,245.979996,247.419998,243.020004,244.970001,240.741501,33169200
2022-06-17,244.699997,250.500000,244.029999,247.649994,243.375229,43084800
2022-06-21,250.259995,254.750000,249.509995,253.740005,249.360092,29928300
2022-06-22,251.889999,257.170013,250.369995,253.130005,248.760651,25939900
2022-06-23,255.570007,259.369995,253.630005,258.859985,254.391724,25861400
2022-06-24,261.809998,267.980011,261.720001,267.700012,263.079193,33923200
2022-06-27,268.209991,268.299988,263.279999,264.890015,260.317688,24615100
